time,name,first_line,cost,second_line,update_time,company,second_name,first_name,bus_type
运行时间：清湖--福田口岸06:30--23:00,深圳4号线(龙华线)公交车路线,"1:清湖
2:龙华
3:龙胜
4:上塘
5:红山
6:深圳北站
7:白石龙
8:民乐
9:上梅林
10:莲花北
11:少年宫
12:市民中心
13:会展中心
14:福民
15:福田口岸
",票价信息：上车2元，分段收费，全程6元,"1:福田口岸
2:福民
3:会展中心
4:市民中心
5:少年宫
6:莲花北
7:上梅林
8:民乐
9:白石龙
10:深圳北站
11:红山
12:上塘
13:龙胜
14:龙华
15:清湖
",最后更新：2018-12-14,港铁轨道交通(深圳)有限公司,深圳4号线(龙华线)公交车路线(福田口岸—清湖),深圳4号线(龙华线)公交车路线(清湖—福田口岸),轨道交通线路
运行时间：清湖--下围05:30--23:00,深圳龙华有轨电车2线公交车路线,"1:清湖
2:清龙
3:清湖学校
4:梅龙北
5:碧澜
6:文澜
7:大和
8:东庵
9:高新区西
10:高新区
11:高新区东
12:下围
",票价信息：2元,"1:下围
2:高新区东
3:高新区
4:高新区西
5:东庵
6:大和
7:文澜
8:碧澜
9:梅龙北
10:清湖学校
11:清龙
12:清湖
",最后更新：2018-12-14,深圳市现代有轨电车有限公司,深圳龙华有轨电车2线公交车路线(下围—清湖),深圳龙华有轨电车2线公交车路线(清湖—下围),轨道交通线路
运行时间：赤湾--新秀06:30--23:00,深圳2号线(蛇口线)公交车路线,"1:赤湾
2:蛇口港
3:海上世界
4:水湾
5:东角头
6:湾厦
7:海月
8:登良
9:后海
10:科苑
11:红树湾
12:世界之窗
13:侨城北
14:深康
15:安托山
16:侨香
17:香蜜
18:香梅北
19:景田
20:莲花西
21:福田
22:市民中心
23:岗厦北
24:华强北
25:燕南
",票价信息：上车2元，分段收费，全程8元,"26:大剧院
27:湖贝
28:黄贝岭
29:新秀
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳2号线(蛇口线)公交车路线(新秀—赤湾),深圳2号线(蛇口线)公交车路线(赤湾—新秀),轨道交通线路
运行时间：清湖--新澜05:30--23:00,深圳龙华有轨电车1线公交车路线,"1:清湖
2:清龙
3:清湖学校
4:梅龙北
5:碧澜
6:文澜
7:大和
8:世纪广场
9:锦鲤
10:河西
11:观城
12:大布头
13:河东
14:石角头
15:新澜
",票价信息：2元,"1:新澜
2:石角头
3:河东
4:大布头
5:观城
6:河西
7:锦鲤
8:世纪广场
9:大和
10:文澜
11:碧澜
12:梅龙北
13:清湖学校
14:清龙
15:清湖
",最后更新：2018-12-14,深圳市现代有轨电车有限公司,深圳龙华有轨电车1线公交车路线(新澜—清湖),深圳龙华有轨电车1线公交车路线(清湖—新澜),轨道交通线路
运行时间：益田--双龙06:30--23:00,深圳3号线(龙岗线)公交车路线,"1:益田
2:石厦
3:购物公园
4:福田
5:少年宫
6:莲花村
7:华新
8:通新岭
9:红岭
10:老街
11:晒布
12:翠竹
13:田贝
14:水贝
15:草埔
16:布吉
17:木棉湾
18:大芬
19:丹竹头
20:六约
21:塘坑
22:横岗
23:永湖
24:荷坳
25:大运
",票价信息：上车2元，分段收费，全程8元,"26:爱联
27:吉祥
28:龙城广场
29:南联
30:双龙
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳3号线(龙岗线)公交车路线(双龙—益田),深圳3号线(龙岗线)公交车路线(益田—双龙),轨道交通线路
运行时间：福田--碧头06:30--23:00,深圳11号线(机场线)公交车路线,"1:福田
2:车公庙
3:红树湾南
4:后海
5:南山
6:前海湾
7:宝安
8:碧海湾
9:机场
10:机场北
11:福永
12:桥头
13:塘尾
14:马安山
15:沙井
16:后亭
17:松岗
18:碧头
",票价信息：上车2元，分段收费，全程10元,"1:碧头
2:松岗
3:后亭
4:沙井
5:马安山
6:塘尾
7:桥头
8:福永
9:机场北
10:机场
11:碧海湾
12:宝安
13:前海湾
14:南山
15:后海
16:红树湾南
17:车公庙
18:福田
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳11号线(机场线)公交车路线(碧头—福田),深圳11号线(机场线)公交车路线(福田—碧头),轨道交通线路
运行时间：罗湖--机场东 06:30--23:00,深圳1号线(罗宝线)公交车路线,"1:罗湖
2:国贸
3:老街
4:大剧院
5:科学馆
6:华强路
7:岗厦
8:会展中心
9:购物公园
10:香蜜湖
11:车公庙
12:竹子林
13:侨城东
14:华侨城
15:世界之窗
16:白石洲
17:高新园
18:深大
19:桃园
20:大新
21:鲤鱼门
22:前海湾
23:新安
24:宝安中心
25:宝体
",票价信息：上车2元，分段收费，全程9元,"26:坪洲
27:西乡
28:固戍
29:后瑞
30:机场东
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳1号线(罗宝线)公交车路线(机场东—罗湖),深圳1号线(罗宝线)公交车路线(罗湖—机场东),轨道交通线路
运行时间：红树湾南--文锦06:30--23:00,深圳9号线(梅林线)公交车路线,"1:红树湾南
2:深湾
3:深圳湾公园
4:下沙
5:车公庙
6:香梅
7:景田
8:梅景
9:梅林二村南
10:梅村
11:上梅林
12:孖岭
13:银湖
14:泥岗
15:红岭北
16:园岭
17:红岭
18:红岭南
19:鹿丹村
20:人民南
21:向西村
22:文锦
",票价信息：上车2元，分段收费，全程6元,"1:文锦
2:向西村
3:人民南
4:鹿丹村
5:红岭南
6:红岭
7:园岭
8:红岭北
9:泥岗
10:银湖
11:孖岭
12:上梅林
13:梅村
14:梅林二村南
15:梅景
16:景田
17:香梅
18:车公庙
19:下沙
20:深圳湾公园
21:深湾
22:红树湾南
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳9号线(梅林线)公交车路线(文锦—红树湾南),深圳9号线(梅林线)公交车路线(红树湾南—文锦),轨道交通线路
运行时间：西丽湖--太安06:30--23:00,深圳7号线(西丽线)公交车路线,"1:西丽湖
2:西丽
3:茶光
4:珠光
5:龙井
6:桃源村
7:深云
8:安托山
9:农林
10:车公庙
11:上沙
12:沙尾
13:石厦
14:皇岗村
15:福民
16:皇岗口岸
17:赤尾
18:华强南
19:华强北
20:华新
21:黄木岗
22:八卦岭
23:红岭北
24:笋岗
25:洪湖
",票价信息：上车2元，分段收费，全程7元,"26:田贝
27:太安
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳7号线(西丽线)公交车路线(太安—西丽湖),深圳7号线(西丽线)公交车路线(西丽湖—太安),轨道交通线路
运行时间：黄贝岭--前海湾06:30--23:00,深圳5号线(环中线)公交车路线,"1:黄贝岭
2:怡景
3:太安
4:布心
5:百鸽笼
6:布吉
7:长龙
8:下水径
9:上水径
10:杨美
11:坂田
12:五和
13:民治
14:深圳北站
15:长岭陂
16:塘朗
17:大学城
18:西丽
19:留仙洞
20:兴东
21:洪浪北
22:灵芝
23:翻身
24:宝安中心
25:宝华
",票价信息：上车2元，分段收费，全程8元,"26:临海
27:前海湾
",最后更新：2018-12-14,深圳市地铁集团有限公司,深圳5号线(环中线)公交车路线(前海湾—黄贝岭),深圳5号线(环中线)公交车路线(黄贝岭—前海湾),轨道交通线路
